epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6782,1.51551,1.78052,1.15812,0.73292,0.67434,0.71198,0.50393,1.13492,1.01942,1.00725,0.000552011,0.000552011,0.000552011
2,74.7501,1.1824,0.99468,1.01247,0.80237,0.69222,0.768,0.56738,1.07209,0.92886,0.97444,0.000833527,0.000833527,0.000833527
3,111.202,1.18195,0.95308,1.0132,0.82392,0.7261,0.80877,0.62571,0.98239,0.8042,0.96095,0.000839989,0.000839989,0.000839989
4,147.48,1.11323,0.90196,0.99639,0.84921,0.73569,0.82572,0.64546,0.9687,0.76465,0.95381,0.000429253,0.000429253,0.000429253
