epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.616,1.61583,1.47748,1.11882,0.77459,0.68232,0.73782,0.51593,1.23169,0.92308,0.95275,0.000554853,0.000554853,0.000554853
2,268.032,1.39916,1.01956,1.03266,0.81889,0.71003,0.78214,0.56903,1.14352,0.85459,0.93175,0.000744048,0.000744048,0.000744048
3,396.65,1.31305,0.93224,1.00396,0.83691,0.72825,0.80316,0.59308,1.11912,0.77154,0.93052,0.000566503,0.000566503,0.000566503
