epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.093,1.65692,1.66594,1.12852,0.78178,0.62005,0.71407,0.49717,1.27768,1.10301,0.96231,0.000552417,0.000552417,0.000552417
2,205.147,1.37132,0.9869,1.01252,0.81772,0.70678,0.78334,0.57071,1.16523,0.82305,0.93313,0.00101667,0.00101667,0.00101667
3,326.959,1.31785,0.93644,0.99897,0.81314,0.69541,0.77141,0.55369,1.18566,0.87152,0.93481,0.00138923,0.00138923,0.00138923
4,416.337,1.3018,0.89753,0.99392,0.83652,0.70832,0.79196,0.57812,1.13806,0.77587,0.92439,0.00125442,0.00125442,0.00125442
5,490.316,1.26669,0.85055,0.98643,0.84861,0.72997,0.80969,0.60442,1.10746,0.74002,0.92197,0.00111689,0.00111689,0.00111689
6,575.945,1.24791,0.82345,0.97833,0.85858,0.70898,0.80761,0.60628,1.09337,0.73694,0.9137,0.000979362,0.000979362,0.000979362
7,670.438,1.23338,0.80939,0.97158,0.85681,0.74043,0.81992,0.61859,1.09853,0.7142,0.91352,0.000841835,0.000841835,0.000841835
8,888.798,1.21091,0.78094,0.96764,0.85644,0.7551,0.8253,0.61755,1.10381,0.71934,0.9124,0.000704307,0.000704307,0.000704307
9,983.491,1.20205,0.77378,0.96445,0.86024,0.75866,0.8338,0.63447,1.07358,0.6853,0.90684,0.00056678,0.00056678,0.00056678
10,1079.64,1.19309,0.76049,0.96164,0.87417,0.75296,0.83384,0.63668,1.05701,0.68118,0.90118,0.000429253,0.000429253,0.000429253
11,1178.62,1.1762,0.73768,0.95623,0.87937,0.75424,0.83977,0.64364,1.04631,0.66011,0.9022,0.000291725,0.000291725,0.000291725
12,1272.23,1.16188,0.72591,0.95021,0.8795,0.76055,0.84183,0.653,1.0258,0.64369,0.89592,0.000154198,0.000154198,0.000154198
