epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.1243,1.65692,1.66594,1.12852,0.78178,0.62005,0.71407,0.49717,1.27768,1.10301,0.96231,0.000552417,0.000552417,0.000552417
2,174.345,1.37132,0.9869,1.01252,0.81772,0.70678,0.78334,0.57071,1.16523,0.82305,0.93313,0.00101667,0.00101667,0.00101667
3,303.616,1.31785,0.93644,0.99897,0.81314,0.69541,0.77141,0.55369,1.18566,0.87152,0.93481,0.00138923,0.00138923,0.00138923
