epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.1753,1.61772,1.53959,1.1176,0.76337,0.66086,0.72247,0.50509,1.21376,0.94315,0.93838,0.000554042,0.000554042,0.000554042
2,184.994,1.36264,0.99042,1.01476,0.81385,0.69626,0.77359,0.55873,1.15612,0.85244,0.92753,0.000889986,0.000889986,0.000889986
3,270.898,1.31753,0.9245,1.00123,0.82852,0.72282,0.79908,0.59177,1.10038,0.77057,0.91661,0.00100589,0.00100589,0.00100589
4,356.863,1.29134,0.8869,0.99177,0.8346,0.73214,0.80602,0.60001,1.08231,0.74964,0.91765,0.000676802,0.000676802,0.000676802
5,443.039,1.25805,0.84946,0.98088,0.85836,0.74594,0.82065,0.62022,1.04692,0.70965,0.90309,0.000346736,0.000346736,0.000346736
