epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6332,1.54918,1.83623,1.17109,0.74723,0.62207,0.68349,0.48628,1.12325,1.22693,1.00009,0.000550792,0.000550792,0.000550792
2,81.68,1.25023,1.02956,1.03344,0.78715,0.68122,0.76539,0.56033,1.04291,0.91544,0.95929,0.000969535,0.000969535,0.000969535
3,121.291,1.18515,0.95496,1.01046,0.81392,0.71214,0.79605,0.61074,0.98392,0.82085,0.95225,0.00125075,0.00125075,0.00125075
4,161.229,1.13808,0.90857,0.99999,0.8373,0.73815,0.82136,0.63255,0.96466,0.79419,0.94165,0.00104813,0.00104813,0.00104813
5,201.399,1.112,0.8674,0.99014,0.85421,0.74969,0.83634,0.64951,0.94168,0.74579,0.94441,0.000841835,0.000841835,0.000841835
6,240.722,1.09108,0.84338,0.98441,0.82847,0.76394,0.82886,0.65334,0.92157,0.7218,0.93225,0.000635544,0.000635544,0.000635544
7,283.074,1.05685,0.80854,0.97689,0.85593,0.77643,0.85459,0.67779,0.89322,0.6883,0.92981,0.000429253,0.000429253,0.000429253
8,326.424,1.02347,0.78191,0.96492,0.85636,0.77682,0.85893,0.68843,0.87325,0.65746,0.92458,0.000222961,0.000222961,0.000222961
