epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.1504,1.40621,2.2623,1.72953,0.74012,0.54495,0.65998,0.3469,1.5124,1.74244,2.20337,0.000554362,0.000554362,0.000554362
2,150.057,1.36731,1.70604,1.68472,0.76027,0.67218,0.73508,0.38996,1.46829,1.39985,2.04559,0.000743719,0.000743719,0.000743719
3,222.101,1.2958,1.50513,1.62886,0.84477,0.70633,0.79068,0.47111,1.35063,1.13025,1.87177,0.000566337,0.000566337,0.000566337
