epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.175,0.75319,3.04451,1.38885,0.44986,0.61362,0.49233,0.35783,0.95924,2.0084,1.53384,0.000174739,0.000174739,0.000174739
2,259.615,0.68633,1.98492,1.33144,0.61163,0.67254,0.63197,0.48331,0.88625,1.55031,1.48838,0.000343141,0.000343141,0.000343141
3,389.132,0.68453,1.66883,1.3218,0.67944,0.67344,0.71653,0.5528,0.88185,1.44226,1.48132,0.0005046,0.0005046,0.0005046
4,518.171,0.67203,1.48855,1.31238,0.7108,0.68619,0.74692,0.55855,0.95567,1.44742,1.50277,0.000494756,0.000494756,0.000494756
