epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.686,1.61772,1.53959,1.1176,0.76337,0.66086,0.72247,0.50509,1.21376,0.94315,0.93838,0.000554042,0.000554042,0.000554042
2,197.495,1.36553,0.99281,1.01539,0.8072,0.69696,0.77581,0.5585,1.16434,0.85349,0.93486,0.000972382,0.000972382,0.000972382
3,288.787,1.32612,0.93117,1.00316,0.80284,0.71862,0.78416,0.57418,1.11793,0.81506,0.91769,0.00125319,0.00125319,0.00125319
4,382.191,1.30053,0.89118,0.99582,0.84241,0.73594,0.81176,0.60229,1.08646,0.7442,0.918,0.00104813,0.00104813,0.00104813
5,471.317,1.27531,0.86075,0.98589,0.85206,0.73625,0.81562,0.60773,1.07048,0.72282,0.9119,0.000841835,0.000841835,0.000841835
6,559.214,1.26633,0.83924,0.98479,0.85572,0.73244,0.81776,0.61503,1.07118,0.71942,0.90636,0.000635544,0.000635544,0.000635544
7,647.519,1.23152,0.81129,0.97337,0.8715,0.7378,0.82402,0.62113,1.05495,0.68748,0.90536,0.000429253,0.000429253,0.000429253
8,735.173,1.20517,0.79195,0.96744,0.86317,0.74649,0.82978,0.63411,1.01814,0.67464,0.89925,0.000222961,0.000222961,0.000222961
