epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.187,1.54358,1.43922,1.10092,0.79905,0.66306,0.74775,0.54806,1.12875,0.91743,0.95937,0.000554445,0.000554445,0.000554445
2,283.971,1.32499,0.96872,1.01649,0.79892,0.72253,0.77185,0.56689,1.05354,0.78134,0.9433,0.000972736,0.000972736,0.000972736
3,415.696,1.26304,0.89211,0.9977,0.82696,0.72533,0.80664,0.61526,1.02235,0.7623,0.93358,0.0012535,0.0012535,0.0012535
4,547.442,1.24595,0.86711,0.99211,0.85259,0.75104,0.82663,0.63786,0.98767,0.72681,0.92546,0.00104813,0.00104813,0.00104813
5,679.069,1.21275,0.82556,0.98084,0.83606,0.74414,0.81916,0.63263,0.99433,0.71149,0.9256,0.000841835,0.000841835,0.000841835
6,811.348,1.19413,0.80497,0.97604,0.85763,0.75858,0.83959,0.64965,0.98814,0.67325,0.91956,0.000635544,0.000635544,0.000635544
7,942.323,1.1688,0.77615,0.96853,0.87554,0.76557,0.84837,0.66536,0.9576,0.65282,0.91678,0.000429253,0.000429253,0.000429253
8,1102.14,1.15347,0.75477,0.96281,0.87149,0.77313,0.85249,0.67581,0.93047,0.63116,0.91164,0.000222961,0.000222961,0.000222961
