epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.214,1.50243,2.24566,1.40044,0.75032,0.4619,0.56741,0.35581,1.49049,1.62141,1.47783,0.000369204,0.000369204,0.000369204
2,150.554,1.4275,1.53048,1.30784,0.92711,0.50366,0.61593,0.386,1.44486,1.33615,1.42146,0.00064802,0.00064802,0.00064802
3,221.612,1.4116,1.3604,1.29539,0.57635,0.62716,0.63266,0.41423,1.39626,1.25692,1.33436,0.000835178,0.000835178,0.000835178
4,291.831,1.3543,1.21661,1.25588,0.63858,0.65746,0.67013,0.4478,1.35384,1.04847,1.26267,0.000698541,0.000698541,0.000698541
5,361.911,1.293,1.10383,1.2272,0.6362,0.67666,0.66383,0.47242,1.27291,0.94252,1.2352,0.000561055,0.000561055,0.000561055
6,432.149,1.25103,1.02549,1.20282,0.64532,0.69813,0.7046,0.48883,1.24264,0.96123,1.20622,0.000423569,0.000423569,0.000423569
7,502.376,1.18771,0.95795,1.16526,0.74272,0.74743,0.77002,0.5383,1.16959,0.84825,1.14778,0.000286083,0.000286083,0.000286083
8,572.702,1.17312,0.91148,1.16895,0.76738,0.76021,0.77677,0.54244,1.12913,0.79872,1.1291,0.000148596,0.000148596,0.000148596
