epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1426.44,0.75974,3.06495,1.40271,0.43677,0.60252,0.48499,0.37372,0.9234,3.0259,1.46351,0.000174739,0.000174739,0.000174739
2,2847.12,0.70412,2.07116,1.34154,0.52615,0.60003,0.58937,0.45093,0.82931,2.38986,1.4381,0.000343141,0.000343141,0.000343141
3,4297.5,0.68835,1.75461,1.32605,0.53874,0.64263,0.60377,0.43128,1.00549,2.28017,1.59477,0.0005046,0.0005046,0.0005046
4,5780.86,0.68609,1.58474,1.32008,0.69784,0.65313,0.6913,0.5089,0.96612,1.92143,1.50839,0.000494756,0.000494756,0.000494756
