epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1998.72,1.65377,1.64183,1.1232,0.76517,0.65585,0.71382,0.48228,1.30054,1.05096,0.95553,0.000552417,0.000552417,0.000552417
2,3987.77,1.39346,0.99707,1.02035,0.82083,0.71066,0.78495,0.56585,1.18281,0.83193,0.93349,0.00101667,0.00101667,0.00101667
3,5887.2,1.31607,0.92987,1.00028,0.78747,0.71114,0.7659,0.54984,1.19969,0.87949,0.93834,0.00138923,0.00138923,0.00138923
4,8092.18,1.2859,0.8813,0.99023,0.85314,0.69149,0.77688,0.57078,1.14625,0.79172,0.91996,0.00125442,0.00125442,0.00125442
