epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.124,1.65692,1.66594,1.12852,0.78178,0.62005,0.71407,0.49717,1.27768,1.10301,0.96231,0.000552417,0.000552417,0.000552417
2,211.803,1.37132,0.9869,1.01252,0.81772,0.70678,0.78334,0.57071,1.16523,0.82305,0.93313,0.00101667,0.00101667,0.00101667
3,334.218,1.31785,0.93644,0.99897,0.81314,0.69541,0.77141,0.55369,1.18566,0.87152,0.93481,0.00138923,0.00138923,0.00138923
4,424.053,1.3018,0.89753,0.99392,0.83652,0.70832,0.79196,0.57812,1.13806,0.77587,0.92439,0.00125442,0.00125442,0.00125442
5,498.166,1.26669,0.85055,0.98643,0.84861,0.72997,0.80969,0.60442,1.10746,0.74002,0.92197,0.00111689,0.00111689,0.00111689
6,584.634,1.24791,0.82345,0.97833,0.85858,0.70898,0.80761,0.60628,1.09337,0.73694,0.9137,0.000979362,0.000979362,0.000979362
7,678.74,1.23338,0.80939,0.97158,0.85681,0.74043,0.81992,0.61859,1.09853,0.7142,0.91352,0.000841835,0.000841835,0.000841835
8,872.748,1.21087,0.78094,0.96764,0.85879,0.75267,0.82517,0.61757,1.10392,0.719,0.91244,0.000704307,0.000704307,0.000704307
9,970.133,1.20158,0.77345,0.9638,0.85672,0.76445,0.83407,0.63317,1.07872,0.68615,0.90736,0.00056678,0.00056678,0.00056678
10,1072.47,1.19253,0.76022,0.9607,0.86662,0.75465,0.8328,0.63781,1.05336,0.67709,0.9017,0.000429253,0.000429253,0.000429253
11,1425.09,1.17537,0.73737,0.95601,0.87757,0.75624,0.84056,0.6454,nan,nan,nan,0.000291725,0.000291725,0.000291725
12,1518.71,1.16171,0.72578,0.95029,0.88286,0.76005,0.84277,0.65397,1.02539,0.64362,0.89589,0.000154198,0.000154198,0.000154198
